Genus,Species,Year,Stream,State.Prov.,Country,Elev.m,Date,Lat,Lon,D.From.Source.m,Verified.Since.2010
Lednia,Lednia tumana,1996-2015,Sexton Glacier South,MT,USA,1824,NA,48.6996,-113.6224,512,yes
Lednia,Lednia tumana,1996-2015,Shepard Glacier,MT,USA,2062.5,NA,48.8652,-113.8568,7,yes
Lednia,Lednia tumana,1996-2015,Siyeh Bend,MT,USA,1943,NA,48.71149,-113.67512,572,yes
Lednia,Lednia tumana,2010,Siyeh Creek,MT,USA,1928.7,NA,48.7,-113.671,485,yes
Lednia,Lednia tumana,1996-2015,Siyeh Creek West,MT,USA,1843,NA,48.7004,-113.6712,482,yes
Lednia,Lednia tumana,1996-2015,Siyeh Glacier,MT,USA,1865.7,NA,48.7378,-113.6538,206,yes
Lednia,Lednia tumana,1996-2015,Siyeh Glacier Far West,MT,USA,1843,NA,48.7423,-113.6516,826,yes
Lednia,Lednia tumana,1996-2015,Siyeh Glacier West,MT,USA,1889,NA,48.7381,-113.6543,257,yes
Lednia,Lednia tumana,1996-2015,Sperry Glacier 3,MT,USA,2248,NA,48.6312,-113.7609,485,yes
Lednia,Lednia tumana,1996-2015,Sperry Glacier 5,MT,USA,2237,NA,48.6328,-113.7681,942,yes
Lednia,Lednia tumana,1996-2015,Sperry Glacier 6,MT,USA,2238,NA,48.6283,-113.7673,446,yes
Lednia,Lednia tumana,1996-2015,Sue Lake East,MT,USA,2183,NA,48.8618,-113.8403,98.3,yes
Lednia,Lednia tumana,1996-2015,Swan Glacier,MT,USA,2008,NA,47.7291,-113.6301,347,yes
Lednia,Lednia tumana,1996-2015,Swiftcurrent Glacier 1,MT,USA,2009,NA,48.7783,-113.756,338,yes
Lednia,Lednia tumana,1996-2015,Swiftcurrent Glacier 2,MT,USA,2029,NA,48.7773,-113.7558,502,yes
Lednia,Lednia tumana,1996-2015,Swiftcurrent Glacier 3,MT,USA,1622,NA,48.778,-113.7461,902,yes
Lednia,Lednia tumana,1996-2015,Swiftcurrent Glacier 4,MT,USA,2094,NA,48.7818,-113.758,522,yes
Lednia,Lednia tumana,2011,Swiftcurrent Glacier outlet,MT,USA,2010,NA,48.7782,-113.755933,401,yes
Lednia,Lednia tumana,1996-2015,Thunderbird Glacier 1,MT,USA,2058.2,NA,48.9447,-114.0373,243,yes
Lednia,Lednia tumana,1996-2015,Triple Divide Pass 3,MT,USA,2002.7,NA,48.5823,-113.5306,318,yes
Lednia,Lednia tumana,2010,Tunnel Creek,MT,USA,1604.7,NA,48.329,-113.741,311,yes
Lednia,Lednia tumana,1996-2015,Twin Lakes,MT,USA,2051,NA,48.6439,-113.7393,39.7,yes
Lednia,Lednia tumana,1996-2015,Two Ocean Glacier 1,MT,USA,2279,NA,48.8428,-114.0155,174,yes
