Species,Present,Year,Stream,State.Prov.,Country,Elev.m,Date,GPS.Decimal.Degrees,Old.GPS.Coords,Publication,Lat,Lon
Lednia sierra,yes,2018,Marie Lakes Outlet,CA,USA,3117,6-Sep,"37.44919',-119.13825'",,"M. Green, Unpubilshed",37.44919',-119.13825'
Lednia sierra,yes,2018,1000 Island Lakes inlet,CA,USA,3006,6-Sep,"37.42602', -119.11523'",,"M. Green, Unpubilshed",37.42602', -119.11523'
Lednia sierra,yes,2018,Cascade Lake Inlet,CA,USA,3160,14-Sep,"37.986267, -119.307404",,"M. Green, Unpubilshed",37.986267,-119.307404
Lednia sierra,yes,2018,Donoghue Pass-East Lyell Fork,CA,USA,3275,5-Sep,"37.45229', -119.15536'",,"M. Green, Unpubilshed",37.45229', -119.15536'
Lednia tetonica,yes,2017,Delta Lake inlet,WY,USA,2814,5-Aug-17,"43.73327, -110.77566",,Unpublished,43.73327,-110.77566
Lednia tetonica,yes,2015,Mica Lake outlet,WY,USA,2891,4-Aug-15,"43.78534, -11084130",,Unpublished,43.78534,-11084130
Lednia tetonica,yes,2016,Teton Meadows #1,WY,USA,NA,27-Jul-16,,,Unpublished,,
Lednia tetonica,yes,2016,NF Teton #2,WY,USA,2798,5-Aug-16,"43.76815, -110.86075",,Unpublished,43.76815,-110.86075
Lednia tetonica,yes,2016,Table Mtn #3,WY,USA,3034,5-Aug-16,"43.752,-110.858",,Unpublished,43.752,-110.858
Lednia tetonica,yes,2017,Wind Cave (2015 high),WY,USA,2621,8-Aug-17,"43.66607, -110.95602",,Unpublished,43.66607,-110.95602
Lednia tetonica,yes,2016,Schoolroom Glacier seep,WY,USA,3044,3-Aug-16,"43.728,-110.844",,Unpublished,43.728,-110.844
Lednia tetonica,yes,2016,South Cascade (2015 low),WY,USA,2951,4-Aug-16,"43.72856, -110.83725",,Unpublished,43.72856,-110.83725
Lednia tetonica,yes,2017,Skillet Glacier,WY,USA,2499,9-Aug-17,,,Unpublished,,
Lednia tetonica,yes,2016,Sunset Lake inlet,WY,USA,NA,3-Aug-16,,,Unpublished,,
Lednia tetonica,yes,2016,AK basin site (Buck Mtn),WY,USA,NA,2-Aug-16,,,Unpublished,,
Lednia tetonica,yes,2017,Upper Paintbrush rock glacier,WY,USA,2805,6-Aug-17,"43.78453, -110.79361",,Unpublished,43.78453,-110.79361
Lednia tetonica,yes,2017,Upper Paintrbush pond,WY,USA,NA,7-Aug-17,,,Unpublished,,
Lednia tetonica,yes,2017,AK Basin high (2017),WY,USA,NA,13-Aug-17,,,Unpublished,,
Lednia tetonica,yes,2018,"""The Gusher""",WY,USA,NA,,,,Unpublished,,
Lednia tetonica,yes,2018,Cloudveil Dome Icy Seep,WY,USA,NA,,,,Unpublished,,
Lednia tumana,yes,1946,Many Glacier glacial strem,MT,USA,1691.64,24-Aug,n/a,,"Ricker, 1952",n/a,
Lednia tumana,yes,1966,Logan Creek,MT,USA,NA,6-Aug,n/a,,"Gaufin et al., 1972",n/a,
Lednia tumana,yes,1976,Bertha Brook below Bertha Lake,AB,CAN,NA,25-Aug,n/a,,"Donald and Anderson, 1977",n/a,
Lednia tumana,yes,2011,Grant Glacier,MT,USA,1836,,"48.329269, -113.741139","48°19’45.37”, -113°44’28.10”","Hotaling et al., 2018",48.329269,-113.741139
Lednia tumana,yes,2011,Jackson Glacier,MT,USA,2006,,"48.605547,-113.695736","48°36’19.97”, -113°41’44.65”","Hotaling et al., 2018",48.605547,-113.695736
Lednia tumana,yes,2011,Lunch Creek,MT,USA,2192,,"48.709833,-113.704244","48°42’35.40”, -113°42’15.28”","Hotaling et al., 2018",48.709833,-113.704244
Lednia tumana,yes,2011,Sexton Glacier (main outlet),MT,USA,1827,,"48.700411, -113.623367","48°42’1.48”, -113°37’24.12”","Hotaling et al., 2018",48.700411,-113.623367
Lednia tumana,yes,2011,Sexton Glacier (south outlet),MT,USA,2173,,"48.699536, -113.622314","48°41’58.33”, -113°37’20.33”","Hotaling et al., 2018",48.699536,-113.622314
Lednia tumana,yes,2011,Clements Creek,MT,USA,2045,,"48.690019, -113.733597","48°41’24.07”, -113°44’0.95”","Hotaling et al., 2018",48.690019,-113.733597
Lednia tumana,yes,2011,Reynolds Spring,MT,USA,2082,,"48.684658, -113.726403","48°41’4.77”, -113°43’35.05”","Hotaling et al., 2018",48.684658,-113.726403
Lednia tumana,yes,2011,Upper Kintla,MT,USA,1826,,"48.946789, -114.140164","48°56’48.44”, -114°8’24.59”","Hotaling et al., 2018",48.946789,-114.140164
Lednia tumana,yes,2011,"Cracker Lake, inlet",MT,USA,1867,,"48.739283, -113.653331","48°44’21.42”, -113°39’11.99”","Hotaling et al., 2018",48.739283,-113.653331
Lednia tumana,yes,2011,Swiftcurrent Glacier outlet,MT,USA,2010,,"48.7782, -113.755933","48°46’41.52”, -113°45’21.36”","Hotaling et al., 2018",48.7782,-113.755933
Lednia tumana,yes,1997,Ahern Outlet,MT,USA,2038,,"48.819,-113.773","296429, 5411065","Muhlfeld et al., 2011",48.819,-113.773
Lednia tumana,yes,1998,Bering Creek,MT,USA,2250,,"48.711,-113.623","307023, 5398681","Muhlfeld et al., 2011",48.711,-113.623
Lednia tumana,yes,2010,Bering Creek,MT,USA,1770,,"48.701,-113.620","307193, 5397480","Muhlfeld et al., 2011",48.701,-113.62
Lednia tumana,yes,2010,Bering Creek,MT,USA,1807,,"48.701,-113.620","307193, 5397480","Muhlfeld et al., 2011",48.701,-113.62
Lednia tumana,yes,2010,Bering Creek,MT,USA,1821,,"48.701,-113.620","307193, 5397480","Muhlfeld et al., 2011",48.701,-113.62
